"is_canceled","lead_time","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","country","market_segment","is_repeated_guest","previous_cancellations","previous_bookings_not_canceled","booking_changes","deposit_type","company","days_in_waiting_list","customer_type","required_car_parking_spaces","total_of_special_requests","reservation_status","name","email","phone.number","credit_card"
1,188,"July",28,4,7,17,2,0,0,"BB","AGO","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,1,"No-Show","Thomas Jones","Jones_Thomas@yahoo.com","168-545-2929","************8447"
0,0,"May",20,10,0,3,1,0,0,"BB","PRT","Offline TA/TO",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Veronica Lucas","Veronica.L@protonmail.com","101-556-2413","************6900"
0,0,"August",34,20,0,1,1,0,0,"SC","FRA","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Julie Stanley","JulieStanley@att.com","376-036-9120","************7521"
0,71,"February",9,23,0,4,2,0,0,"BB","ITA","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Deborah Solomon","Deborah.Solomon@protonmail.com","253-819-5415","************7228"
0,8,"March",10,1,0,3,1,0,0,"BB","ESP","Offline TA/TO",0,0,0,0,"No Deposit",NA,0,"Transient-Party",0,0,"Check-Out","Drew Miller","Drew_Miller@xfinity.com","415-134-6099","************6021"
0,118,"June",24,6,1,2,1,0,0,"BB","DEU","Offline TA/TO",0,0,0,3,"No Deposit",NA,0,"Transient-Party",0,0,"Check-Out","Jonathon Underwood","Jonathon.U@mail.com","482-381-4791","************1908"
1,199,"October",44,28,0,2,2,0,0,"BB","PRT","Groups",0,0,0,0,"No Deposit",NA,0,"Transient-Party",0,0,"Canceled","Stephanie Carroll","Stephanie.C@xfinity.com","882-070-2119","************3459"
0,33,"June",26,19,2,1,2,0,0,"BB","NLD","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,2,"Check-Out","Lisa Garcia","LGarcia96@yahoo.com","279-608-3949","************6624"
1,263,"April",17,25,0,5,2,0,0,"SC","BRA","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,1,"Canceled","Tiffany Jones","Jones.Tiffany18@yandex.com","720-239-4751","************8021"
1,251,"March",13,22,0,3,2,0,0,"BB","PRT","Groups",0,0,0,0,"Non Refund",NA,93,"Transient",0,0,"Canceled","Ryan Ferguson","Ferguson.Ryan60@zoho.com","500-808-3698","************5185"
0,186,"October",41,6,2,3,2,0,0,"BB","DEU","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,1,"Check-Out","Erin Perez MD","EMD@att.com","261-445-4046","************9981"
1,3,"March",12,23,0,2,1,0,0,"BB","PRT","Aviation",0,0,0,0,"No Deposit",153,0,"Transient",0,0,"Canceled","Peter Martin","Peter_Martin82@hotmail.com","536-901-8062","************5868"
0,135,"June",22,1,0,3,2,0,0,"BB","PRT","Offline TA/TO",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Craig Lambert","Craig_Lambert@protonmail.com","171-238-5388","************8475"
1,89,"October",40,3,2,2,2,0,0,"BB","PRT","Groups",0,0,0,0,"Non Refund",NA,0,"Transient",0,0,"Canceled","Xavier Taylor","Xavier_Taylor@gmail.com","496-827-5973","************3521"
1,87,"April",15,15,2,2,2,0,0,"BB","PRT","Groups",0,0,0,0,"Non Refund",NA,0,"Transient",0,0,"Canceled","Laura Morton","Morton_Laura51@protonmail.com","545-738-8438","************6648"
1,19,"May",18,2,0,3,2,0,0,"BB","ITA","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,2,"Canceled","Chase Cook","Cook.Chase75@protonmail.com","585-992-7704","************4873"
0,1,"August",33,14,1,0,2,0,0,"BB","PRT","Direct",0,0,0,2,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Daniel Burns","DBurns@outlook.com","312-917-4326","************4824"
0,9,"September",39,20,2,3,2,0,0,"BB","ESP","Offline TA/TO",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Aaron Wilson","Aaron.Wilson@hotmail.com","481-593-7871","************9726"
0,138,"April",16,13,0,1,2,0,0,"HB","PRT","Groups",0,0,0,0,"No Deposit",NA,0,"Transient-Party",0,1,"Check-Out","Dana Schultz","Dana.S@att.com","504-576-0873","************8225"
0,0,"April",18,28,0,1,1,0,0,"BB","PRT","Offline TA/TO",1,0,9,0,"No Deposit",NA,0,"Transient-Party",0,2,"Check-Out","Heather King","HeatherKing@verizon.com","623-666-4178","************7863"
0,12,"January",3,15,0,2,2,0,0,"SC","NLD","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,1,"Check-Out","Douglas Jones","Jones.Douglas@hotmail.com","824-887-1857","************3648"
0,184,"July",27,4,2,6,2,0,0,"BB","GBR","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,1,"Check-Out","Sherri Perez","Perez.Sherri@zoho.com","561-389-7475","************9605"
1,15,"February",7,17,0,2,2,0,0,"BB","PRT","Offline TA/TO",0,0,0,0,"Non Refund",NA,0,"Transient",0,0,"Canceled","Shannon Mckenzie","Mckenzie.Shannon@zoho.com","983-231-6862","************6687"
0,1,"November",45,1,0,1,2,0,0,"BB","PRT","Corporate",1,0,1,0,"No Deposit",40,0,"Transient",0,0,"Check-Out","Nicole Harvey DDS","NDDS@aol.com","922-557-7269","************2499"
1,119,"May",20,18,0,3,2,0,0,"BB","DEU","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Canceled","Cody Thomas","CodyThomas29@verizon.com","358-748-9083","************6041"
1,292,"August",32,5,0,2,2,0,0,"BB","PRT","Groups",0,1,0,0,"Non Refund",NA,0,"Transient-Party",0,0,"Canceled","Ruth Yang","Ruth_Yang12@yahoo.com","503-024-8915","************1534"
1,179,"October",40,1,2,1,2,0,0,"BB","IRL","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,2,"Canceled","Patrick Cooper","PCooper@yahoo.com","329-283-6038","************4822"
0,33,"April",18,29,2,2,2,0,0,"BB","BEL","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,1,"Check-Out","Krista Fischer","Fischer_Krista@gmail.com","553-015-8556","************6052"
0,5,"November",45,4,0,2,1,0,0,"SC","FRA","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,2,"Check-Out","Wayne Campos","WayneCampos@aol.com","416-687-9675","************9213"
0,190,"May",19,7,1,0,2,0,0,"BB","BRA","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,1,"Check-Out","Leslie Raymond","Raymond.Leslie@mail.com","350-350-9969","************7679"
0,0,"December",51,19,0,1,2,1,0,"BB","PRT","Direct",0,0,0,1,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Carmen Morris","Morris_Carmen@yandex.com","526-538-7740","************7074"
1,44,"February",8,17,0,3,2,0,0,"BB","PRT","Offline TA/TO",0,0,0,0,"Non Refund",NA,3,"Transient",0,0,"Canceled","Joseph Solomon","Joseph_S31@mail.com","946-575-8114","************6072"
0,3,"January",1,1,1,0,2,1,0,"BB","PRT","Direct",0,0,0,0,"No Deposit",NA,0,"Transient",1,2,"Check-Out","Danielle Frey","Danielle.F@comcast.net","739-850-5961","************3590"
0,185,"May",19,6,0,2,2,0,0,"BB","PRT","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,2,"Check-Out","Corey Smith","CoreySmith@gmail.com","212-966-3626","************5209"
1,330,"September",37,12,2,1,2,0,0,"BB","PRT","Groups",0,1,0,0,"No Deposit",NA,0,"Transient-Party",0,0,"Canceled","Paige Houston","Paige.H@yahoo.com","444-653-7914","************7831"
1,90,"May",20,12,1,3,2,0,0,"BB","ESP","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Canceled","Shawn Bennett","Shawn.B@att.com","340-302-6973","************1467"
1,295,"August",32,8,2,2,2,0,0,"BB","PRT","Groups",0,1,0,0,"No Deposit",NA,0,"Transient-Party",0,0,"Canceled","Suzanne Lindsey","SLindsey@yahoo.com","570-975-6431","************9733"
0,80,"September",38,17,2,3,2,0,0,"BB","NLD","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,3,"Check-Out","James Evans","James.E@verizon.com","935-790-6757","************5005"
1,178,"May",20,19,0,2,2,0,0,"BB","GBR","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Canceled","Jennifer Arnold","Jennifer.Arnold83@hotmail.com","109-815-3641","************1915"
1,149,"July",30,20,0,3,2,0,0,"BB","DNK","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Canceled","Jason Mayo","Jason.Mayo@yahoo.com","608-020-6743","************1750"
0,37,"March",13,24,0,3,2,0,0,"BB","ESP","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient-Party",0,1,"Check-Out","Edward Davis","Davis.Edward@protonmail.com","761-247-0268","************7142"
0,74,"April",14,3,1,3,2,0,0,"BB","USA","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Brittany Richards","Richards_Brittany@mail.com","352-044-0723","************3099"
0,53,"June",25,18,2,1,1,0,0,"BB","POL","Online TA",0,0,0,2,"No Deposit",NA,0,"Transient",0,2,"Check-Out","Mark Shaw","Mark_S@mail.com","673-961-2659","************1680"
0,51,"October",44,27,0,1,1,0,0,"SC","AUT","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,1,"Check-Out","Tiffany Floyd","Tiffany.Floyd37@yandex.com","412-634-4520","************5627"
1,87,"July",30,18,1,3,2,0,0,"HB","ESP","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,1,"Canceled","Carolyn Weaver","CWeaver@gmail.com","661-576-9834","************9607"
1,164,"August",33,14,0,1,2,0,0,"BB","PRT","Groups",0,1,0,0,"Non Refund",NA,0,"Transient",0,0,"Canceled","David Colon","David.C34@verizon.com","335-595-6860","************1633"
1,23,"October",44,29,2,1,2,0,0,"BB","ESP","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Canceled","Rickey Anderson","Rickey.Anderson@verizon.com","778-355-3280","************9045"
0,295,"August",33,15,0,3,2,1,0,"BB","DEU","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,2,"Check-Out","Paul Simpson","Simpson_Paul@gmail.com","480-655-9227","************2529"
1,78,"January",4,25,0,2,1,0,0,"BB","PRT","Groups",0,0,0,0,"No Deposit",365,0,"Transient-Party",0,0,"Canceled","Laura Graham","Graham_Laura33@zoho.com","904-662-9740","************8870"
0,10,"March",10,1,0,5,2,0,0,"BB","ESP","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Christina Martinez","Christina.M@mail.com","420-544-2148","************2717"
1,169,"June",23,8,0,3,2,0,0,"BB","PRT","Offline TA/TO",0,0,0,0,"Non Refund",NA,0,"Transient",0,0,"Canceled","Shawna Weber","Shawna.W68@protonmail.com","296-529-4994","************4607"
0,8,"September",36,1,0,1,1,0,0,"BB","BEL","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Brandy Trujillo","Brandy_Trujillo@gmail.com","541-885-8041","************7222"
1,1,"February",10,28,2,1,1,0,0,"BB","PRT","Offline TA/TO",0,0,0,0,"No Deposit",NA,0,"Transient-Party",0,0,"Canceled","Kimberly Carlson","Kimberly_Carlson28@gmail.com","543-642-1062","************5568"
1,37,"July",31,28,0,2,2,1,0,"BB","JPN","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Canceled","Rachel Doyle","Rachel_D@verizon.com","130-674-2185","************1760"
1,277,"November",46,7,1,2,2,0,0,"BB","PRT","Groups",0,0,0,0,"Non Refund",NA,0,"Transient",0,0,"Canceled","Tamara Dominguez","TDominguez@outlook.com","311-142-6406","************3769"
1,350,"June",25,17,0,2,2,0,0,"BB","PRT","Groups",0,0,0,0,"Non Refund",NA,0,"Transient",0,0,"Canceled","Kelsey Potter","Potter.Kelsey@att.com","428-096-7696","************3908"
1,91,"March",12,18,0,2,1,0,0,"BB","PRT","Groups",0,0,0,0,"Non Refund",NA,20,"Transient",0,0,"Canceled","Pamela Banks","Pamela.Banks@comcast.net","586-724-5820","************1776"
1,10,"December",51,14,1,5,2,0,0,"BB","PRT","Direct",0,1,0,0,"No Deposit",NA,0,"Transient",0,2,"Canceled","Jeanette Howell","Howell.Jeanette@yandex.com","621-006-2153","************8829"
0,65,"June",26,21,0,3,2,0,0,"BB","PRT","Online TA",0,0,0,1,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Courtney Holmes","Courtney_Holmes@yahoo.com","257-532-9837","************3443"
0,79,"October",41,10,1,1,2,0,0,"BB","ESP","Groups",0,0,0,0,"No Deposit",NA,0,"Transient-Party",0,0,"Check-Out","David Riddle","Riddle.David11@aol.com","852-099-6979","************5362"
1,10,"April",17,27,0,2,2,2,0,"BB","NLD","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Canceled","Jacqueline Price","Price_Jacqueline35@verizon.com","192-465-8476","************8091"
1,386,"July",31,28,0,2,2,0,0,"BB","PRT","Groups",0,0,0,0,"Non Refund",NA,0,"Transient",0,0,"Canceled","Leonard Gardner","Gardner.Leonard@att.com","618-577-3810","************6017"
0,47,"December",49,5,2,1,2,0,0,"BB","ESP","Groups",0,0,0,0,"No Deposit",NA,0,"Transient-Party",0,0,"Check-Out","Megan Harding","Megan_H@hotmail.com","526-203-3931","************4258"
0,256,"June",25,15,0,2,2,0,0,"HB","DEU","Offline TA/TO",0,0,0,0,"No Deposit",NA,0,"Transient-Party",0,1,"Check-Out","Logan Moore","Logan.Moore@outlook.com","470-319-8804","************8017"
0,193,"August",32,10,0,3,3,0,0,"BB","BEL","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,1,"Check-Out","Jason Griffith","Griffith_Jason@aol.com","731-100-8334","************2370"
1,8,"January",3,12,6,18,1,0,0,"BB","CHN","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"No-Show","Luis Morales","Luis_M@gmail.com","926-636-4779","************5234"
1,41,"November",46,11,1,2,2,0,0,"BB","FRA","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,1,"Canceled","Kristin Gonzales","KristinGonzales72@yandex.com","888-295-2410","************2030"
1,43,"March",10,11,2,3,2,0,0,"BB","USA","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,1,"Canceled","Cheryl Rose","Rose.Cheryl25@protonmail.com","883-371-0861","************4029"
1,205,"September",38,15,0,1,2,0,0,"SC","USA","Online TA",0,0,0,3,"No Deposit",NA,0,"Transient",0,0,"Canceled","Matthew Michael","Michael_Matthew@att.com","756-289-2962","************6887"
1,300,"November",46,11,0,2,2,0,0,"BB","PRT","Groups",0,0,0,0,"Non Refund",NA,0,"Transient",0,0,"Canceled","Trevor Bishop","Trevor.B99@yandex.com","133-293-1482","************8209"
0,5,"September",40,30,0,1,1,0,0,"BB","NLD","Direct",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Jade Wilson","JWilson43@outlook.com","190-548-8741","************2447"
0,162,"July",27,3,1,4,3,0,0,"HB","FRA","Online TA",0,0,0,1,"No Deposit",NA,0,"Transient",0,2,"Check-Out","Michelle Velasquez","MichelleVelasquez@mail.com","413-351-4518","************7469"
0,86,"September",39,24,0,2,2,0,0,"BB","FRA","Offline TA/TO",0,0,0,0,"No Deposit",NA,0,"Transient-Party",0,0,"Check-Out","Paul Smith","Paul.S@outlook.com","525-528-3108","************1582"
0,0,"September",39,22,0,1,2,0,0,"BB","PRT","Direct",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Samantha Knox","Samantha_K@gmail.com","190-732-6187","************8696"
1,38,"September",39,18,2,0,2,0,0,"SC","JOR","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Canceled","Kristin Conway","KristinConway38@gmail.com","650-455-1324","************1248"
0,15,"October",40,1,1,3,2,0,0,"BB","GBR","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Rachel Liu","Rachel_L29@xfinity.com","489-700-4951","************5688"
0,6,"June",24,8,0,1,1,0,0,"BB","ITA","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Rodney Wu","RWu@protonmail.com","270-901-7652","************5012"
1,67,"February",7,12,2,0,2,0,0,"BB","PRT","Groups",0,0,0,0,"Non Refund",NA,0,"Transient",0,0,"Canceled","Christopher Roberts","Christopher_Roberts@outlook.com","495-275-1176","************2372"
1,69,"September",36,1,2,6,2,0,0,"SC","GBR","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Canceled","Miss Jessica Brown","Miss.Brown@yandex.com","693-014-2710","************6107"
0,0,"July",31,24,1,0,2,0,0,"BB","PRT","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Scott Flynn","ScottFlynn58@zoho.com","687-710-3010","************8183"
0,49,"September",38,18,2,2,1,0,0,"BB","PRT","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Sarah Cox","Sarah.C@mail.com","772-793-4951","************9047"
0,29,"April",17,17,2,0,2,0,0,"BB","ITA","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,1,"Check-Out","Courtney Collins","Courtney_Collins@hotmail.com","567-522-4253","************3131"
1,356,"May",19,13,1,1,2,2,0,"BB","BHR","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,3,"Canceled","Jonathan Greene","JGreene26@att.com","549-655-6160","************9986"
1,134,"June",23,7,0,2,2,0,0,"BB","PRT","Offline TA/TO",0,0,0,0,"Non Refund",NA,0,"Transient",0,0,"Canceled","Adam Reeves","Adam_R@comcast.net","950-872-4288","************2022"
0,19,"November",48,24,1,3,2,0,0,"SC","FRA","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,2,"Check-Out","Beth Odom","BOdom@mail.com","647-767-6948","************5261"
0,93,"August",33,17,0,2,3,0,0,"BB","BEL","Offline TA/TO",0,0,0,0,"No Deposit",NA,0,"Transient",0,1,"Check-Out","Kelly Palmer","KPalmer@mail.com","430-775-0935","************2091"
0,136,"April",18,28,2,3,2,0,0,"BB","FRA","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Daniel Ramirez","Daniel.R@comcast.net","657-921-3803","************6518"
0,47,"December",49,5,2,1,1,0,0,"BB","ESP","Groups",0,0,0,1,"No Deposit",NA,0,"Transient-Party",0,0,"Check-Out","John Fry","John.Fry@hotmail.com","909-062-3893","************6221"
0,117,"July",27,7,0,2,2,2,0,"BB","CN","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Daniel Lam","Daniel_Lam@hotmail.com","914-091-0875","************2835"
0,316,"May",22,26,0,3,1,0,0,"BB","AUT","Groups",0,0,0,1,"No Deposit",NA,0,"Transient-Party",0,0,"Check-Out","Dawn Robinson","Dawn_Robinson29@yandex.com","274-486-2259","************3132"
0,220,"June",23,4,2,1,1,0,0,"BB","USA","Groups",0,0,0,0,"No Deposit",NA,0,"Transient-Party",0,0,"Check-Out","Mark Riggs","Mark.Riggs@aol.com","915-095-0710","************7669"
1,258,"January",2,14,2,1,2,0,0,"HB","ITA","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Canceled","Shannon Hurley","Shannon.H@yahoo.com","771-560-9109","************4471"
1,292,"August",32,5,0,2,2,0,0,"BB","PRT","Groups",0,1,0,0,"Non Refund",NA,0,"Transient-Party",0,0,"Canceled","Beverly Carey","Beverly_C@gmail.com","344-913-4990","************4017"
1,151,"August",34,19,2,3,0,2,0,"BB","POL","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,1,"Canceled","Adrienne Jackson","Adrienne.Jackson@yahoo.com","348-461-8855","************4362"
1,146,"March",14,30,0,3,1,0,0,"BB","PRT","Offline TA/TO",0,1,0,0,"Non Refund",NA,28,"Transient",0,0,"Canceled","Kathryn Johnson","Johnson_Kathryn@yahoo.com","556-139-9212","************2977"
0,0,"July",31,29,0,1,2,0,0,"SC","FRA","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Check-Out","James Cook","James.Cook@aol.com","802-146-7001","************3484"
0,35,"March",9,2,2,3,2,0,1,"BB","CHE","Offline TA/TO",0,0,0,1,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Jeremy Ellis","Jeremy.E@outlook.com","174-441-5450","************1361"
0,5,"February",8,16,0,3,1,0,0,"BB","ESP","Offline TA/TO",0,0,0,1,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Catherine Donovan","Catherine.Donovan@verizon.com","865-331-5291","************7536"
0,2,"August",34,24,0,1,2,0,0,"BB","MEX","Groups",0,0,0,0,"No Deposit",NA,0,"Transient-Party",0,1,"Check-Out","Cameron Parks","Cameron.P89@hotmail.com","285-987-4007","************4891"
0,15,"July",28,4,1,1,3,0,0,"BB","AUT","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",1,2,"Check-Out","Robert Daniel","RDaniel64@yahoo.com","552-356-6858","************4473"
0,134,"February",8,25,0,1,1,0,0,"BB","PRT","Groups",0,0,0,0,"No Deposit",NA,0,"Transient-Party",0,0,"Check-Out","Dylan Singleton","Dylan.Singleton@yandex.com","414-027-8005","************6529"
1,63,"February",7,14,0,1,2,0,0,"SC","DEU","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,1,"Canceled","Diane Young","DYoung@protonmail.com","109-313-6846","************5925"
1,344,"September",39,26,2,1,2,0,0,"BB","PRT","Groups",0,1,0,0,"Non Refund",NA,0,"Transient",0,0,"Canceled","Carmen Tran","CTran13@gmail.com","644-193-9036","************9235"
